Sl. No.,States/UTs,Total Operational SEZs,Employment (Persons)
1,Tamil Nadu,49,591517
2,Maharashtra,38,589811
3,Telangana,37,500415
4,Karnataka,36,401232
5,Andhra Pradesh,25,78866
6,Gujarat,21,112899
7,Kerala,20,86484
8,Uttar Pradesh,14,184871
9,Haryana,8,178413
10,West Bengal,7,73555
11,Madhya Pradesh,6,36401
12,Odisha,5,13538
13,Punjab,3,12079
14,Rajasthan,3,24581
15,Chandigarh,2,10784
16,Chhattisgarh,1,6
17,Jharkhand,1,160
Grand Total,Grand Total,276,2895612
